route_id,agency_id,route_short_name,route_long_name,route_type,route_url
822,grctm,822,Jardim Brasil I (Cruz Cabugá),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=822
823,grctm,823,Jardim Brasil Ii (Est. De Belém),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=823
824,grctm,824,Jardim Brasil Ii (Cruz Cabugá),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=824
825,grctm,825,Jardim Brasil / Ti Joana Bezerra,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=825
827,grctm,827,Jardim Brasil (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=827
831,grctm,831,Aguazinha / Ti Xambá,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=831
841,grctm,841,Nova Olinda / Ti Xambá,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=841
842,grctm,842,Águas Compridas / Ti Xambá,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=842
843,grctm,843,Alto Da Bondade / Ti Xambá,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=843
844,grctm,844,Santa Casa / Ti Xambá,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=844
846,grctm,846,Águas Compridas (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=846
847,grctm,847,Alto Nova Olinda / Ti Xambá,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=847
852,grctm,852,Caixa D'Água / Ti Xambá,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=852
860,grctm,860,Ti Xambá (Príncipe),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=860
861,grctm,861,Ti Joana Bezerra / Ti Xambá,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=861
870,grctm,870,Ti Xambá / Ti Largo Da Paz,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=870
881,grctm,881,Ti Xambá / Rio Doce (Av. Getúlio Vargas),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=881
882,grctm,882,Ti Xambá / Rio Doce (Carlos De Lima Cavalcanti),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=882
883,grctm,883,Ti Pe-15 / Ti Xambá,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=883
884,grctm,884,Jardim Brasil / Rio Doce,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=884
885,grctm,885,Sítio Novo / Rio Doce,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=885
886,grctm,886,Ouro Preto / Rio Doce,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=886
892,grctm,892,Alto Do Cajueiro / Ti Xambá,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=892
893,grctm,893,Ti Pe-15 / Alto Da Conquista,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=893
894,grctm,894,Ti Xambá / Córrego Do Abacaxi,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=894
895,grctm,895,Alto Sol Nascente / Ti Xambá,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=895
901,grctm,901,Ti Abreu E Lima / Ti Macaxeira,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=901
910,grctm,910,Piedade / Ti Rio Doce,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=910
914,grctm,914,Ti Pe-15 / Ti Afogados,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=914
916,grctm,916,Ouro Preto / Joana Bezerra,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=916
1903,grctm,1903,Araçoiaba / Ti Igarassu,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1903
1904,grctm,1904,Ti Igarassu / Nova Cruz,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1904
1905,grctm,1905,Ti Igarassu / Ti Abreu E Lima,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1905
1906,grctm,1906,Ti Pelópidas / Ti Macaxeira,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1906
1907,grctm,1907,Paulista / Rio Doce,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1907
1909,grctm,1909,Ti Pelópidas / Ti Joana Bezerra,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1909
1911,grctm,1911,Ouro Preto (Cohab),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1911
1912,grctm,1912,Caetés I / Ti Abreu E Lima,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1912
1913,grctm,1913,Ti Pe-15 / Ti Joana Bezerra,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1913
1917,grctm,1917,Caetés Ii / Ti Abreu E Lima,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1917
1918,grctm,1918,Ti Igarassu (Circular),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1918
1921,grctm,1921,Ouro Preto / Ti Pe-15,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1921
1922,grctm,1922,Pau Amarelo / Ti Pelópidas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1922
1923,grctm,1923,Cidade Tabajara / Ti Pe-15,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1923
1926,grctm,1926,Ouro Preto (Jatobá Ii),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1926
1927,grctm,1927,Ouro Preto (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1927
1928,grctm,1928,Maranguape Ii (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1928
1929,grctm,1929,Alameda Paulista / Ti Rio Doce (Jaguarana),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1929
1931,grctm,1931,Jardim Paulista Baixo / Ti Pelópidas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1931
1932,grctm,1932,Jardim Paulista Alto / Ti Pelópidas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1932
1933,grctm,1933,Ti Pe-15 / Ti Abreu E Lima,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1933
1934,grctm,1934,Arthur Lundgren I / Ti Pelópidas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1934
1935,grctm,1935,Paratibe / Ti Pelópidas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1935
1936,grctm,1936,Mirueira (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1936
1937,grctm,1937,Ti Abreu E Lima / Nova Aurora,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1937
1940,grctm,1940,Ti Pe-15 (Circular),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1940
1941,grctm,1941,Arthur Lundgren Ii / Ti Pelópidas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1941
1943,grctm,1943,Mirueira / Ti Pelópidas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1943
1944,grctm,1944,Lot. Conceição / Ti Pelópidas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1944
1945,grctm,1945,Jaguarana (Alameda) / Ti Pelópidas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1945
1946,grctm,1946,Ti Igarassu (Br-101),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1946
1949,grctm,1949,Caetés / Centro De Paulista (Paratibe),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1949
1950,grctm,1950,Engenho Maranguape / Varadouro,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1950
1952,grctm,1952,Ti Pelópidas / Ti Rio Doce,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1952
1953,grctm,1953,Maranguape Ii / Ti Pelópidas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1953
1955,grctm,1955,Engenho Maranguape / Ti Pelópidas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1955
1956,grctm,1956,Igarassu (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1956
1957,grctm,1957,Caetés I (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1957
1958,grctm,1958,Costa Azul / Ti Pelópidas,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1958
1960,grctm,1960,Ti Rio Doce / Maria Farinha (Casa Caiada),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1960
1964,grctm,1964,Ti Igarassu / Ti Macaxeira,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1964
1966,grctm,1966,Ti Rio Doce / Ti Pe-15 (Fragoso),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1966
1967,grctm,1967,Ti Igarassu (Sítio Histórico),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1967
1968,grctm,1968,Ilha De Itamaracá / Ti Igarassu,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1968
1969,grctm,1969,Itapissuma / Ti Igarassu,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1969
1971,grctm,1971,Amparo,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1971
1973,grctm,1973,Casa Caiada (Conde Boa Vista),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1973
1974,grctm,1974,Jardim Atlântico,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1974
1975,grctm,1975,Amparo (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1975
1977,grctm,1977,Ti Pelópidas (Conde Boa Vista),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1977
1978,grctm,1978,Loteamento Conceição / Ti Rio Doce (Pe-22),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1978
1980,grctm,1980,Igarassu / Cidade Tabajara,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1980
1981,grctm,1981,Ti Rio Doce / Ti Joana Bezerra,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1981
1982,grctm,1982,Conjunto Beira Mar / Derby,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1982
1983,grctm,1983,Ti Rio Doce (Princesa Isabel),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1983
1984,grctm,1984,Lot. Bonfim / Ti Abreu E Lima,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1984
1985,grctm,1985,Rio Doce (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1985
1986,grctm,1986,Ti Pe-15 / Ti Rio Doce,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1986
1987,grctm,1987,Ti Rio Doce (Príncipe / Conde Boa Vista),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1987
1988,grctm,1988,Desterro / Ti Abreu E Lima,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1988
1989,grctm,1989,Lot. Planalto / Ti Abreu E Lima,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1989
1992,grctm,1992,Pau Amarelo,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1992
1993,grctm,1993,Conjunto Praia Do Janga,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1993
1994,grctm,1994,Conjunto Beira Mar,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1994
1995,grctm,1995,Pau Amarelo (Bacurau),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1995
1996,grctm,1996,Arthur Lundgren Ii / Rio Doce (Paratibe),3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1996
1998,grctm,1998,Caetés Iii / Ti Abreu E Lima,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=1998
2402,grctm,2402,Parque Capibaribe / Caxangá,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=2402
2410,grctm,2410,Parque Capibaribe / Ti Tip,3,https://virtual.granderecife.pe.gov.br/rumo/?codigo-linha=2410
